mobley_id,atoms,coords,smiles,hfe
mobley_1017962,"['C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.04, 1.064, 0.143], [-0.16, 1.436, 1.604], [0.924, 0.824, 2.492], [0.715, 1.202, 3.962], [1.785, 0.605, 4.876], [1.595, 0.968, 6.332], [0.692, 1.666, 6.772], [2.609, 0.418, 7.063], [2.583, 0.702, 8.465], [-0.74, 1.506, -0.484], [1.012, 1.412, -0.22], [0.001, -0.023, 0.02], [-1.148, 1.089, 1.931], [-0.15, 2.527, 1.702], [0.913, -0.266, 2.378], [1.909, 1.173, 2.16], [0.751, 2.295, 4.055], [-0.282, 0.887, 4.289], [1.788, -0.487, 4.776], [2.768, 0.984, 4.574], [3.434, 0.214, 8.937], [1.647, 0.334, 8.88], [2.652, 1.779, 8.595]]",CCCCCC(=O)OC,-3.3
mobley_1019269,"['C', 'C', 'C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.39, -1.021, -0.085], [-0.58, -2.024, 0.52], [-1.931, -1.992, -0.189], [-2.905, -2.995, 0.414], [-4.138, -2.916, -0.288], [1.356, -1.05, 0.429], [0.559, -1.23, -1.146], [-0.01, -0.006, 0.003], [-0.147, -3.029, 0.452], [-0.712, -1.799, 1.585], [-2.365, -0.987, -0.134], [-1.804, -2.207, -1.257], [-2.519, -4.016, 0.326], [-3.09, -2.774, 1.47], [-4.734, -3.565, 0.119]]",CCCCO,-3.23
mobley_1034539,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H', 'H']","[[1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.267, 0.154, -0.187], [-0.152, 1.511, -0.488], [-1.16, 2.154, -1.207], [-2.282, 1.44, -1.626], [-2.397, 0.082, -1.326], [-1.389, -0.56, -0.606], [-1.514, -2.253, -0.216], [-3.798, -0.812, -1.847], [-3.531, 2.255, -2.523], [-0.943, 3.838, -1.543], [1.692, -1.07, 4.401], [4.194, -2.399, 2.838], [1.932, -1.028, -1.199], [3.753, -2.075, 0.067], [-0.079, -0.035, 2.478], [0.725, 2.068, -0.163]]",c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl,-1.08
mobley_1036761,"['C', 'C', 'C', 'C', 'C', 'C', 'N', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.564, 0.544, -0.766], [0.351, -0.116, -2.126], [1.041, 0.663, -3.244], [0.598, 2.13, -3.259], [0.824, 2.789, -1.894], [0.134, 2.008, -0.777], [1.331, 2.86, -4.291], [1.623, 0.477, -0.491], [-0.0, -0.0, -0.0], [0.734, -1.142, -2.101], [-0.724, -0.181, -2.336], [2.128, 0.596, -3.107], [0.813, 0.189, -4.207], [-0.467, 2.177, -3.504], [1.899, 2.85, -1.676], [0.443, 3.818, -1.902], [0.365, 2.467, 0.19], [-0.954, 2.069, -0.909], [0.992, 2.813, -5.226], [2.239, 3.201, -4.066]]",C1CCC(CC1)N,-3.95
mobley_1046331,"['C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [1.759, -1.098, 4.036], [2.36, 0.015, 4.633], [2.892, 0.956, 4.066], [1.918, -1.021, -1.198], [3.76, -2.077, 0.083], [3.689, -2.115, 2.558], [-0.079, -0.035, 2.474], [-0.0, 0.0, 0.0], [2.28, -0.085, 5.727]]",c1ccc(cc1)OC=O,-5.44
mobley_1075836,"['C', 'C', 'C', 'O', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[-0.872, 0.546, 0.373], [-0.882, 0.551, 1.892], [-2.071, 1.298, 2.45], [-2.939, 1.843, 1.781], [-2.015, 1.262, 3.814], [-3.082, 1.933, 4.493], [-0.004, 0.001, -0.012], [-1.776, 0.066, -0.012], [-0.83, 1.566, -0.023], [0.031, 1.031, 2.259], [-0.918, -0.48, 2.258], [-2.93, 1.837, 5.565], [-4.026, 1.48, 4.194], [-3.063, 2.981, 4.205]]",CCC(=O)OC,-3.65
mobley_1079207,"['C', 'C', 'C', 'C', 'C', 'C', 'Cl', 'Cl', 'H', 'H', 'H', 'H']","[[1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.567, 0.223, 2.785], [4.157, -2.385, 2.891], [1.919, -1.02, -1.198], [3.755, -2.074, 0.07], [1.767, -1.095, 3.763], [0.007, -0.003, -0.014]]",c1cc(cc(c1)Cl)Cl,-0.11
mobley_1107178,"['C', 'C', 'I', 'H', 'H', 'H', 'H', 'H']","[[0.145, -0.696, 0.834], [1.41, -0.375, 1.61], [3.127, -0.515, 0.356], [-0.729, -0.62, 1.49], [-0.0, 0.0, 0.0], [0.172, -1.712, 0.427], [1.509, -1.069, 2.452], [1.337, 0.635, 2.028]]",CCI,-0.61
mobley_1139153,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.236, 1.742, -0.083], [0.297, 1.074, 0.928], [1.14, 0.282, 1.933], [-0.719, 0.17, 0.192], [-0.138, -0.995, -0.66], [1.192, -1.494, -0.066], [-1.148, -2.162, -0.624], [0.084, -0.595, -2.125], [0.668, 2.319, -0.82], [1.937, 2.421, 0.413], [1.817, 0.99, -0.628], [-0.221, 1.873, 1.469], [0.508, -0.214, 2.678], [1.723, -0.492, 1.421], [1.847, 0.922, 2.466], [-1.399, -0.278, 0.93], [-1.357, 0.798, -0.446], [1.619, -2.315, -0.649], [1.05, -1.865, 0.957], [1.934, -0.689, -0.025], [-0.788, -3.014, -1.211], [-2.118, -1.859, -1.034], [-1.315, -2.511, 0.401], [0.493, -1.432, -2.704], [0.795, 0.233, -2.215], [-0.856, -0.296, -2.6]]",CC(C)CC(C)(C)C,2.54
mobley_1144156,"['C', 'C', 'O', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.917, 1.45, 0.586], [1.91, 0.913, -0.422], [1.517, 1.324, -1.723], [2.416, 0.847, -2.716], [1.942, 1.318, -4.074], [1.191, 1.151, 1.601], [0.872, 2.543, 0.539], [-0.091, 1.081, 0.369], [1.935, -0.181, -0.391], [2.913, 1.3, -0.218], [3.414, 1.236, -2.501], [2.438, -0.245, -2.673], [2.613, 0.968, -4.863], [0.931, 0.95, -4.28], [1.895, 2.412, -4.109]]",CCOCC,-0.62
